,Date,MetaData,raw_text,text
0,Thu Feb 14 11:15:01 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0oEvW1YrEb', 'expanded_url': 'https://twitter.com/i/web/status/1096004882153259008', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [96, 119]}]}","Day of love? The number of romance scams jumped from 8,500 in 2015 to more than 21,000 in 2018… https://t.co/0oEvW1YrEb","Day of love? The number of romance scams jumped from 8,500 in 2015 to more than 21,000 in 2018

https://mintne.ws/2Idehc8 pic.twitter.com/va9gm90qrR"
1,Thu Feb 14 10:58:22 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PQYH5yHlSF', 'expanded_url': 'https://www.livemint.com/industry/telecom/new-trai-dth-rules-2019-airtel-tv-channels-tata-sky-dish-1550139184708.html', 'display_url': 'livemint.com/industry/telec…', 'indices': [64, 87]}], 'media': [{'id': 1096000678755893248, 'id_str': '1096000678755893248', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/DzXGz3rVAAAroEm.png', 'media_url_https': 'https://pbs.twimg.com/media/DzXGz3rVAAAroEm.png', 'url': 'https://t.co/QotRB7Ke9A', 'display_url': 'pic.twitter.com/QotRB7Ke9A', 'expanded_url': 'https://twitter.com/livemint/status/1096000692957863936/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 600, 'h': 338, 'resize': 'fit'}, 'large': {'w': 600, 'h': 338, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}","New TRAI rules: DTH players to offer customised best fit plans

https://t.co/PQYH5yHlSF https://t.co/QotRB7Ke9A","New TRAI rules: DTH players to offer customised best fit plans

https://www.livemint.com/industry/telecom/new-trai-dth-rules-2019-airtel-tv-channels-tata-sky-dish-1550139184708.html …pic.twitter.com/QotRB7Ke9A"
2,Thu Feb 14 10:38:43 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6igGUd16It', 'expanded_url': 'https://mintne.ws/2Ic8pQ9', 'display_url': 'mintne.ws/2Ic8pQ9', 'indices': [79, 102]}], 'media': [{'id': 1095995728378261504, 'id_str': '1095995728378261504', 'indices': [103, 126], 'media_url': 'http://pbs.twimg.com/media/DzXCTuFU8AAa16Q.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DzXCTuFU8AAa16Q.jpg', 'url': 'https://t.co/YQRoSPBjFK', 'display_url': 'pic.twitter.com/YQRoSPBjFK', 'expanded_url': 'https://twitter.com/livemint/status/1095995746313072640/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 600, 'h': 337, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 600, 'h': 337, 'resize': 'fit'}, 'small': {'w': 600, 'h': 337, 'resize': 'fit'}}}]}","Mahindra XUV300 launched in India; prices start ₹7.90 lakh, to take on Brezza

https://t.co/6igGUd16It https://t.co/YQRoSPBjFK","Mahindra XUV300 launched in India; prices start ₹7.90 lakh, to take on Brezza

https://mintne.ws/2Ic8pQ9 pic.twitter.com/YQRoSPBjFK"
3,Thu Feb 14 09:53:43 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WTaqTaSTnL', 'expanded_url': 'https://www.livemint.com/news/world/the-oil-crash-is-over-but-debt-is-still-piling-up-in-the-gulf-1550137423622.html', 'display_url': 'livemint.com/news/world/the…', 'indices': [88, 111]}], 'media': [{'id': 1095984342508040192, 'id_str': '1095984342508040192', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/DzW38-aU8AAPWK_.png', 'media_url_https': 'https://pbs.twimg.com/media/DzW38-aU8AAPWK_.png', 'url': 'https://t.co/iDC967aYZ6', 'display_url': 'pic.twitter.com/iDC967aYZ6', 'expanded_url': 'https://twitter.com/livemint/status/1095984422329831424/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 600, 'h': 338, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 600, 'h': 338, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}","Saudi Arabia and the UAE have imposed excise and value-added taxes for the first time.

https://t.co/WTaqTaSTnL https://t.co/iDC967aYZ6","Saudi Arabia and the UAE have imposed excise and value-added taxes for the first time.

https://www.livemint.com/news/world/the-oil-crash-is-over-but-debt-is-still-piling-up-in-the-gulf-1550137423622.html …pic.twitter.com/iDC967aYZ6"
4,Thu Feb 14 09:06:34 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CnbNKkkx38', 'expanded_url': 'https://www.livemint.com/companies/news/jet-airways-poised-to-get-rs-600-crore-emergency-loan-1550134523335.html', 'display_url': 'livemint.com/companies/news…', 'indices': [60, 83]}], 'media': [{'id': 1095972535760412672, 'id_str': '1095972535760412672', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/media/DzWtNu2VYAAwGdT.png', 'media_url_https': 'https://pbs.twimg.com/media/DzWtNu2VYAAwGdT.png', 'url': 'https://t.co/bT8WEBDdBW', 'display_url': 'pic.twitter.com/bT8WEBDdBW', 'expanded_url': 'https://twitter.com/livemint/status/1095972557306523648/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 600, 'h': 337, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 337, 'resize': 'fit'}, 'small': {'w': 600, 'h': 337, 'resize': 'fit'}}}]}","The fund infusion would come as a lifeline for Jet Airways

https://t.co/CnbNKkkx38 https://t.co/bT8WEBDdBW","The fund infusion would come as a lifeline for Jet Airways

https://www.livemint.com/companies/news/jet-airways-poised-to-get-rs-600-crore-emergency-loan-1550134523335.html …pic.twitter.com/bT8WEBDdBW"
5,Thu Feb 14 08:30:45 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/t0QUmptiXm', 'expanded_url': 'https://mintne.ws/2GpkKif', 'display_url': 'mintne.ws/2GpkKif', 'indices': [60, 83]}], 'media': [{'id': 1095963517985861632, 'id_str': '1095963517985861632', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/media/DzWlA1BVsAAgYcn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DzWlA1BVsAAgYcn.jpg', 'url': 'https://t.co/Bfejolnbof', 'display_url': 'pic.twitter.com/Bfejolnbof', 'expanded_url': 'https://twitter.com/livemint/status/1095963544384720896/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1367, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 801, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}}}]}","GST Council to consider rate cut on property: Piyush Goyal

https://t.co/t0QUmptiXm https://t.co/Bfejolnbof","GST Council to consider rate cut on property: Piyush Goyal

https://mintne.ws/2GpkKif pic.twitter.com/Bfejolnbof"
6,Thu Feb 14 08:05:00 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oskoHZZHUw', 'expanded_url': 'https://mintne.ws/2IbbzUg', 'display_url': 'mintne.ws/2IbbzUg', 'indices': [68, 91]}], 'media': [{'id': 1095946485860986880, 'id_str': '1095946485860986880', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/DzWVhbaU8AAtIh1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DzWVhbaU8AAtIh1.jpg', 'url': 'https://t.co/pbwP7Jjnlw', 'display_url': 'pic.twitter.com/pbwP7Jjnlw', 'expanded_url': 'https://twitter.com/livemint/status/1095957062939332608/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 621, 'h': 414, 'resize': 'fit'}, 'large': {'w': 621, 'h': 414, 'resize': 'fit'}, 'small': {'w': 621, 'h': 414, 'resize': 'fit'}}}]}","Delhi govt vs L-G: Supreme Court holds a split verdict on services

https://t.co/oskoHZZHUw https://t.co/pbwP7Jjnlw","Delhi govt vs L-G: Supreme Court holds a split verdict on services

https://mintne.ws/2IbbzUg pic.twitter.com/pbwP7Jjnlw"
7,Thu Feb 14 08:03:30 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BdQxbXs47g', 'expanded_url': 'https://www.livemint.com/technology/apps/twitter-testing-profile-preview-feature-on-android-ios-app-1550128102466.html', 'display_url': 'livemint.com/technology/app…', 'indices': [61, 84]}], 'media': [{'id': 1095956662429470725, 'id_str': '1095956662429470725', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/DzWexyFU0AUS7zm.png', 'media_url_https': 'https://pbs.twimg.com/media/DzWexyFU0AUS7zm.png', 'url': 'https://t.co/d7zcyEEzai', 'display_url': 'pic.twitter.com/d7zcyEEzai', 'expanded_url': 'https://twitter.com/livemint/status/1095956685930164225/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 600, 'h': 338, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 600, 'h': 338, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}","Twitter testing profile preview feature on Android, iOS app

https://t.co/BdQxbXs47g https://t.co/d7zcyEEzai","Twitter testing profile preview feature on Android, iOS app

https://www.livemint.com/technology/apps/twitter-testing-profile-preview-feature-on-android-ios-app-1550128102466.html …pic.twitter.com/d7zcyEEzai"
8,Thu Feb 14 07:50:00 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lUpGHlMakp', 'expanded_url': 'https://mintne.ws/2Ibb9NG', 'display_url': 'mintne.ws/2Ibb9NG', 'indices': [73, 96]}], 'media': [{'id': 1095946190502342656, 'id_str': '1095946190502342656', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/DzWVQPHVsAAyIUm.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DzWVQPHVsAAyIUm.jpg', 'url': 'https://t.co/MByGhhYdsc', 'display_url': 'pic.twitter.com/MByGhhYdsc', 'expanded_url': 'https://twitter.com/livemint/status/1095953287902318593/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 621, 'h': 414, 'resize': 'fit'}, 'large': {'w': 621, 'h': 414, 'resize': 'fit'}, 'medium': {'w': 621, 'h': 414, 'resize': 'fit'}}}]}","Apple adds two-factor authentication requirement for developer accounts

https://t.co/lUpGHlMakp https://t.co/MByGhhYdsc","Apple adds two-factor authentication requirement for developer accounts

https://mintne.ws/2Ibb9NG pic.twitter.com/MByGhhYdsc"
9,Thu Feb 14 07:35:00 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Onbxeli3Jp', 'expanded_url': 'https://mintne.ws/2IcadsG', 'display_url': 'mintne.ws/2IcadsG', 'indices': [82, 105]}], 'media': [{'id': 1095945981672079360, 'id_str': '1095945981672079360', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/media/DzWVEFKUwAARFka.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DzWVEFKUwAARFka.jpg', 'url': 'https://t.co/74ouTZEpz1', 'display_url': 'pic.twitter.com/74ouTZEpz1', 'expanded_url': 'https://twitter.com/livemint/status/1095949513032777728/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 600, 'h': 338, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}}}]}","Petrol price down by 55 paise, diesel by 9 paise this month. Check today's rates

https://t.co/Onbxeli3Jp https://t.co/74ouTZEpz1","Petrol price down by 55 paise, diesel by 9 paise this month. Check today's rates

https://mintne.ws/2IcadsG pic.twitter.com/74ouTZEpz1"
